Dataset Overview,,,Missing Values Summary,,,,Numeric Validation Checks,,,Layoff Metric Availability,,,Distinct Category Review,,,,Date Validation Checks,,,Basic Distribution Summary,,,Funding Validation Summary,
Metric,Value,,Field,Missing Count,Missing %,,Test,Result,,Data Availability,Count,,Unique Countries,Unique Industries,Unique Stages,,Test,Result,,Metric,Result,,Test,Result
Total Records,4562,,company,0,0.00%,,Negative layoffs,0,,Both metrics available,2024,,Argentina,Aerospace,Acquired,,Missing layoff dates,0,,Maximum employees laid off,22000,,Missing funding,541
Unique Companies,2964,,location,1,0.02%,,Negative funding,0,,Only total_laid_off available,958,,Australia,AI,Post-IPO,,Future layoff dates,0,,Median employees laid off,90,,Zero funding,0
Unique Industries,30,,total_laid_off,1580,34.63%,,Percentage < 0,0,,Only percentage available,839,,Austria,Construction,Private Equity,,Missing date_added,0,,Average employees laid off,311.739772,,Negative funding,0
Unique Countries,66,,date,0,0.00%,,Percentage > 1,0,,Neither available,741,,Bahrain,Consumer,Seed,,date_added before layoff date,36,,Maximum layoff percentage,100.00%,,Maximum funding,"$121,900.00"
Unique Stages,16,,percentage_laid_off,1699,37.24%,,Percentage = 1,365,,Sum,4562,,Belgium,Crypto,Series A,,,,,Median layoff percentage,17.00%,,Median funding,$175.00
Earliest Layoff Date,3/11/2020,,industry,2,0.04%,,Zero layoffs,0,,,,,Brazil,Data,Series B,,,,,Average layoff percentage,29.47%,,,
Latest Layoff Date,8/12/2026,,source,3,0.07%,,,,,,,,Bulgaria,Education,Series C,,,,,,,,,
,,,stage,8,0.18%,,,,,,,,Canada,Energy,Series D,,,,,,,,,
,,,funds_raised,541,11.86%,,,,,,,,Cayman Islands,Finance,Series E,,,,,,,,,
,,,country,2,0.04%,,,,,,,,Chile,Fitness,Series F,,,,,,,,,
,,,date_added,0,0.00%,,,,,,,,China,Food,Series G,,Company names with extra spaces,,,,,,,
,,,,,,,,,,,,,Colombia,Hardware,Series H,,2,,,,,,,
,,,,,,,,,,,,,Cyprus,Healthcare,Series I,,,,,,,,,
,,,,,,,,,,,,,Czech Republic,HR,Series J,,,,,,,,,
,,,,,,,,,,,,,Denmark,Infrastructure,Subsidiary,,,,,,,,,
,,,,,,,,,,,,,Egypt,Legal,Unknown,,,,,,,,,
,,,,,,,,,,,,,Estonia,Logistics,,,,,,,,,,
,,,,,,,,,,,,,Finland,Manufacturing,,,,,,,,,,
,,,,,,,,,,,,,France,Marketing,,,,,,,,,,
,,,,,,,,,,,,,Germany,Media,,,,,,,,,,
,,,,,,,,,,,,,Ghana,Other,,,,,,,,,,
,,,,,,,,,,,,,Greece,Product,,,,,,,,,,
,,,,,,,,,,,,,Hong Kong,Real Estate,,,,,,,,,,
,,,,,,,,,,,,,Hungary,Recruiting,,,,,,,,,,
,,,,,,,,,,,,,India,Retail,,,,,,,,,,
,,,,,,,,,,,,,Indonesia,Sales,,,,,,,,,,
,,,,,,,,,,,,,Ireland,Security,,,,,,,,,,
,,,,,,,,,,,,,Israel,Support,,,,,,,,,,
,,,,,,,,,,,,,Italy,Transportation,,,,,,,,,,
,,,,,,,,,,,,,Japan,Travel,,,,,,,,,,
,,,,,,,,,,,,,Kenya,,,,,,,,,,,
,,,,,,,,,,,,,Lithuania,,,,,,,,,,,
,,,,,,,,,,,,,Luxembourg,,,,,,,,,,,
,,,,,,,,,,,,,Malaysia,,,,,,,,,,,
,,,,,,,,,,,,,Malta,,,,,,,,,,,
,,,,,,,,,,,,,Mexico,,,,,,,,,,,
,,,,,,,,,,,,,Myanmar,,,,,,,,,,,
,,,,,,,,,,,,,Netherlands,,,,,,,,,,,
,,,,,,,,,,,,,New Zealand,,,,,,,,,,,
,,,,,,,,,,,,,Nigeria,,,,,,,,,,,
,,,,,,,,,,,,,Norway,,,,,,,,,,,
,,,,,,,,,,,,,Pakistan,,,,,,,,,,,
,,,,,,,,,,,,,Peru,,,,,,,,,,,
,,,,,,,,,,,,,Philippines,,,,,,,,,,,
,,,,,,,,,,,,,Poland,,,,,,,,,,,
,,,,,,,,,,,,,Portugal,,,,,,,,,,,
,,,,,,,,,,,,,Romania,,,,,,,,,,,
,,,,,,,,,,,,,Russia,,,,,,,,,,,
,,,,,,,,,,,,,Saudi Arabia,,,,,,,,,,,
,,,,,,,,,,,,,Senegal,,,,,,,,,,,
,,,,,,,,,,,,,Seychelles,,,,,,,,,,,
,,,,,,,,,,,,,Singapore,,,,,,,,,,,
,,,,,,,,,,,,,South Africa,,,,,,,,,,,
,,,,,,,,,,,,,South Korea,,,,,,,,,,,
,,,,,,,,,,,,,Spain,,,,,,,,,,,
,,,,,,,,,,,,,Sweden,,,,,,,,,,,
,,,,,,,,,,,,,Switzerland,,,,,,,,,,,
,,,,,,,,,,,,,Thailand,,,,,,,,,,,
,,,,,,,,,,,,,Turkey,,,,,,,,,,,
,,,,,,,,,,,,,UAE,,,,,,,,,,,
,,,,,,,,,,,,,Ukraine,,,,,,,,,,,
,,,,,,,,,,,,,United Arab Emirates,,,,,,,,,,,
,,,,,,,,,,,,,United Kingdom,,,,,,,,,,,
,,,,,,,,,,,,,United States,,,,,,,,,,,
,,,,,,,,,,,,,Uruguay,,,,,,,,,,,
,,,,,,,,,,,,,Vietnam,,,,,,,,,,,
