Field,Description,Expected Type,Example,Data Quality Concern
company,Company experiencing the layoff,Text,Bitwise,whitespace/name consistency
location,Location associated with layoff,Text,SF Bay Area,missing/inconsistent geography
total_laid_off,Number of employees laid off,Integer,25,missing values
date,Date of reported layoff,Date,8/12/2026,date validation
percentage_laid_off,Proportion of workforce laid off,Decimal,0.14,missing values
industry,Company's industry,Text,Crypto,missing/category consistency
source,Source reporting the layoff,URL/Text,article URL,missing URLs
stage,Company/funding stage,Text,Series B,missing values
funds_raised,"Reported funding raised, millions",Numeric,154,missing values
country,Country associated with event,Text,United States,missing/name consistency
date_added,Date record was added,Date,8/13/2026,freshness
